City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,ikryanoye,37.402,40.781,307.32,7,0,4.46,TR,1719669188
119,opuwo,35.059,23.8068,302.59,56,0,6.27,GR,1719669192
120,strehaia,58.2478,-92.5074,275.78,85,0,2.4,CA,1719669196
121,sinop,68.5977,-107.1509,287.55,44,86,2.51,CA,1719669207
122,kultali,65.9791,-40.0233,271.21,99,100,2.72,GL,1719669209
123,takamaka,-7.4782,39.3192,299.43,71,64,5.85,TZ,1719669211
124,chingola,-11.3038,120.3873,299.82,81,97,7.17,ID,1719669213
125,hovd,-13.078,-169.2285,300.9,80,71,8.46,AS,1719669215
126,luang namtha,47.9493,58.7639,288.79,78,100,8.82,KZ,1719669217
127,turpan,58.8251,43.2347,297.6,38,1,0.59,RU,1719669219
128,sangsong-ni,55.7288,47.6137,296.16,56,6,4.37,RU,1719669223
129,howard springs,49.832,9.8177,304.98,53,100,2.79,DE,1719669233
130,wanxian,-36.6487,-64.9981,278.5,49,80,0.61,AR,1719669239
131,lompoc,63.7861,75.0242,282.92,75,100,3.39,RU,1719669244
132,kulhudhuffushi,-7.977,139.726,297.44,88,60,4.4,ID,1719669262
133,thamaga,29.1234,-16.1256,294.3,78,95,6.65,ES,1719669266
134,beyneu,24.7554,43.8966,314.59,6,97,3.66,SA,1719669268
135,imbituba,24.6088,75.3022,303.61,61,96,6.25,IN,1719669270
136,mathba,-23.4223,-70.6612,286.91,81,1,4.59,CL,1719669280
137,apt,-0.4821,-72.1043,301.54,67,60,1.07,CO,1719669292
138,pamplona,63.8067,-126.7861,287.95,49,66,1.26,CA,1719669306
139,esfarayen,42.2954,-117.2404,290.45,33,0,3.49,US,1719669308
140,gashua,64.9952,143.3917,283.13,75,100,0.49,RU,1719669312
141,nova vicosa,33.9869,101.4341,275.87,85,51,0.92,CN,1719669320
142,ardesen,49.797,124.1039,290.84,62,100,1.01,CN,1719669328
143,puerto deseado,-32.9448,147.0721,285.53,90,100,3.36,AU,1719669330
144,saksaul'skiy,-7.8176,32.2289,300.21,37,61,1.01,TZ,1719669344
145,bandar-e lengeh,-14.0154,49.0776,287.38,70,73,0.69,MG,1719669346
146,shendi,66.9279,137.104,284.21,58,5,0.99,RU,1719669350
147,santana,31.6815,-6.2947,296.09,19,0,2.58,MA,1719669356
148,gaoping,60.2363,-106.7504,288.91,37,73,3.56,CA,1719669380
149,mugia,24.1009,101.0439,294.9,97,100,1.47,CN,1719669405
150,sandakan,57.9389,68.0477,285.37,93,98,3.87,RU,1719669413
151,chino,-29.0873,22.7568,292.6,29,52,8.78,ZA,1719669417
152,marrakesh,58.6566,-133.3276,280.18,94,100,1.27,US,1719669420
153,queenstown,66.9908,172.4629,284.73,67,94,1.47,RU,1719669423
154,kotlas,12.0915,-17.6279,299.78,79,75,2.83,SN,1719669438
